Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Page
,,,,,,,,,2,,3,4,4,7,7,8,,114
,WATERBURY CONN,1155,,14,,10,4,1,,2,,,,,,,,114
,,,56,22,2,10,4,1,2,2,3,3,4,,,190,,114
,,,55 56,36,,10,4,1,2,2,3,3,4,5,7,9,,114
,,,55,23,,3,1,,1,,1,1,1,2,2,2,,114
,,,,26,,70,7,,1,1,2,2,3,4,5,6,,114
,EVERETT MASS,,55,,,,,,,,,,,,,,,114
,,,,,,,,,,,,,2,3,3,4,,114
,ELIZABETH N J,,56,20,1,5,2,1,1,1,2,2,,,,,,114
,,,55 56,23,,6,2,,1,1,1,2,2,2,3,4,,114
,CAMDEN N J,,55,19,2,7,3,1,2,2,2,2,3,3,4,5,,114
,,,55 56,21,,,3,1,,1,2,2,3,3,4,,,114
,PERTH AMBOY,,,,,,,,,,,,,,,,,114
,,,,,,,,,,,1,2,2,3,4,4,,114
,TRENTON N J,,55 56,16,,6,2,1,1,1,,,,,,,,114
,JERSEY CITY,,55 56,21,,12,3,1,2,2,2,3,3,4,4,7,,114
,NEW YORK N Y,,55 56,21,,,7,1,2,3,3,5,6,,14,15,,114
,,,54 55,18,,43,5,1,2,2,2,3,3,4,4,5,,114
,,,,39,,43,6,1,2,2,3,3,4,5,,14,,114
,,,54 56,,,,,,,,,,,,,,,114
,,,,,,,,,,,,,,,,5,,114
,PHILADELPHIA PA,,,94,,,3,1,4,2,2,2,2,3,4,,,114
,,,56,11,2,,4,2,2,2,3,4,4,5,5,6,,114
,,,55 56,105,,11,3,1,1,2,2,2,3,3,4,5,,114
,,4156,56,11,,140,17,1,2,2,3,3,6,9,10,19,,114
,,,56,9,1,14,5,1,2,3,3,4,4,6,6,9,,114
,,,,,,,,,1,1,1,2,2,,,5,,114
,,,56,11,,6,2,1,,,,,,,,,,114
,,7156,56,11,2,42,8,1,2,2,2,3,4,5,,15,,114
,,,55,94,,11,3,1,1,2,2,2,2,3,4,5,,114
,,,56,53,,140,7,1,1,2,2,3,4,5,,10,,114
,,,55 56,147 47,,140,4,1,1,2,2,2,3,4,5,7,,114
,ALTOONA PA,,56,13,,3,2,,1,1,1,2,2,2,2,3,,114
,BRISTOL,,55 56,i8,,8,2,,1,1,1,1,2,3,3,4,,114
,,,55 56,16,,7,2,1,1,1,2,2,2,3,3,4,,114
,ERIE PA,,56,25,,5,2,1,1,1,1,2,2,2,2,3,,114
,PA,,56,21,2,10,,,2,2,3,4,5,5,6,7,,114
,,,55 56,23,,6,2,1,1,2,2,2,2,3,3,5,,114
,PA,,,,,,,,,,,,,,,,,114
,,,,,,,,,,,,,,,,3,,114
,,,55 56,17,,5,2,1,1,,1,2,2,2,3,,,114
,KY,,54,i7,,38,7,1,1,2,3,3,4,6,7,8,,114
,,,,21,,26,8,2,3,4,4,5,5,,12,22,,114
,,,54,38,,38,,1,2,3,4,5,5,6,,22,,114
,,,54,13,,6,3,1,2,2,2,2,3,3,3,5,,114
