Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Page
,WATERBURY CONN,,55,14,10,2800,229,10,11,19,22,29,31,48,,62,,168
,,1156,56,22,9,100,39,18,19,20,21,22,31,42,62,93,,168
,,,56,36,,2800,113,11,19,20,21,22,39,44,55,88,,168
,,1155,55,23,5,300,42,10,11,20,22,29,31,4,44,62,,168
,,,55,26,3,80,26,4,,10,il,20,27,29,44,62,,168
,J,,55 56,20,3,59,19,6,,10,,15,17,,29,37,,168
,PAULSBORO N J,,55 56,23,3,Si,17,4,5,8,10,14,16,,24,37,,168
,,,,,,,,,10,,17,22,23,26,29,31,,168
,,,55 56,19,7,95,25,9,,,,,,,,,,168
,PERTH AMBOY N J,,55 56,21,3,,19,5,6,9,12,16,,2,26,44,,168
,TRENTON N J,,55 56,16,,45,16,3,4,7,,11,,,31,37,,168
,,,55 56,,9,150,45,18,21,26,29,37,41,44,,74,,168
,,,55 56,20,1,210,54,18,22,3,37,44,56,,74,96,,168
,NEW YORK,,,,,,,,,,,,,,,,,168
,,,54 55,18,29,137,78,31,55,,62,8,91,,99,104,,168
,,,54 56,38,1,210,65,22,31,41,54,59,68,88,94,,,168
,PHILADELPHIA PA,1155,55,94,5,120,27,9,12,15,18,20,,2,38,50,,168
,,,54,11,7,69,23,7,,11,15,18,2,3,34,37,,168
,,,55 56,105,5,120,26,9,12,15,17,20,23,29,37,50,,168
,,,,,,,,,13,16,18,20,21,22,31,52,,168
,,,564,11,5,130,30,5,,,,,,,,,,168
,,5156,56,9,7,20,13,7,,,,1,1,,18,20,,168
,,,55,11,7,98,37,7,1,16,18,3,4,49,52,62,,168
,,7156,56,11,1,83,22,1,6,8,9,1,16,29,31,S2,,168
,,,55,94,5,120,27,9,,,18,20,,,38,50,,168
,,,54,53,1,130,26,7,10,12,1,18,20,28,3,52,,168
,,,55 36,147 47,1,130,26,8,,14,14,19,,,,,,168
,ALTOONA PA,,56,13,,10,6,1,,,,,,,,10,,168
,BRISTOL PA,,55 56,18,,17,7,1,,,,4,9,,13,17,,168
,CHESTER PA,,55 56,18,,98,16,5,6,,,9,10,1,13,i8,,168
,,,,,,,5,1,,,,,,,,,,168
,ERIE PA,,56,25,,20,,,,,,,4,,6,,,168
,,,56,,,100,14,1,,,,,10,1,19,22,,168
,PA,,55 56,23,,200,16,1,5,,,,9,,1,,,168
,,,55 56,17,8,40,24,10,1,19,20,2,,29,3,39,,168
,,,54,17,3,32,10,3,,,6,,,1,,21,,168
,,,55,21,,13,5,1,,,,,,,,10,,168
,,,54 55,38,,32,,2,2,,,,,,,16,,168
,,,54,13,,80,8,,,,,,,,,9,,168
,,2155,,,,86,21,2,,,10,1,14,24,29,31,,168
,,,,10,2,,,,,,,,,,,,,168
,,,54 55,23,,86,14,1,,,,4,,,14,31,,168
,,,54 54,31,,,9,1,,,,,,,13,21,,168
,,,55,31,,86,10,1,,,4,,9,,1,22,,168
,,,54 55,62,,86,10,1,,,,,,,12,21,,168
,,,,18,17,84,41,,,,3,39,,,59,74,,168
,VA,,55,16,,10 100,i2,2,,,,,,,10,11,,168
,TAMPA FLA,,95,21,2,20,6,2,,,4,,,,,19,,168
,ATLANTA GA,,55,16,3,60,10,,,,,,,,,,,168
,CHATTANOOGA TENN,,55,14,,,4,,,a,,,,,5,6,,168
,,,55 56,18,,30,6,2,,,4,,,,,9,,168
,,,,,,,,,,,,4,,,,,,168
,,,55 56,32,,30,5,1,,,,4,4,,,9,,168
,CHICAGO ILL,,,28,3,10 100,17,4,,,,9,1,,,31,,168
,,,,20,4,10 100,27,6,,1,19,,2,,44,52,,168
,,,55,29,,40,,4,,,,,,14,,29,,168
,,,55,77,,10 100,18,4,,3,,10,19,2,26,39,,168
,EAST,,,,,,,,,,,,,,,62,,168
,LOUIS,,55 56,1,5,20 200,31,6,,,,1,19,24,3,,,168
,,,55 56,14,2,50,8,,,,4,,,,,9,,168
,,,55 56,29,2,20,20,,4,,,,,1,2,48,,168
,EAST CHICAGO,,,19,3,30,15,6,8,10,10,il,11,20,22,29,,169
,,,55 56,26,2,60,17,4,5,6,8,11,19,22,29,31,,169
,,,55 56,21,3,100,26,4,7,10,ii,20,2i,22,48,62,,169
,,,55 56,20,1,40,12,3,4,5,,6,7,,22,29,,169
,,,55 56,,,,18,,5,7,9,10,19,,,,,169
,,,,86,1,,,4,,,,,,,28,31,,169
