Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Page
,,,,14,1,13,4,1,2,2,3,3,4,5,6,,,70
,,1156,56,22,1,13,3,,1,1,1,2,2,3,6,9,,70
,,,55 56,36,1,13,4,,1,1,2,2,3,4,6,9,,70
,,1155,55,23,,6,3,,1,2,2,3,3,3,4,5,,70
,,,,26,,34,3,,1,1,1,2,2,3,3,4,,70
,,1755,,,,,,,,,,,,,,,,70
,,,56,21,,6,1,,,,1,1,1,2,3,5,,70
,,,55 56,25,,16,2,,,,1,1,,1,1,5,,70
,,,55 56,21,,,1,,,,,1,1,1,2,3,,70
,,,56,23,,4,,,,,,1,1,1,1,2,,70
,,,55,17,,6,2,,1,,2,2,3,3,3,4,,70
,,,56,23,,8,1,,,,1,1,,1,1,2,,70
,,2154,54,18,4,92,19,4,5,8,10,,15,17,19,34,,70
,,2755,55,21,2,453,12,2,2,3,4,6,8,9,27,34,,70
,,2156,56,3,6,57,30,,6,6,6,30,30,30,30,61,,70
,,,54 56,42,,92,16,2,3,5,6,9,,16,29,38,,70
,,,54 55,13,1,3,1,,,,1,1,1,1,2,2,,70
,,,,19,1,92,18,3,4,8,10,11,13,16,19,34,,70
,,,55,38,1,43,7,,1,,2,2,3,5,8,27,,70
,,,56,3,6,,30,,6,6,6,30,30,30,30,61,,70
,,,54 56,60,,92,12,1,1,2,3,4,8,10,,32,,70
,PHILADELPHIA PA,,54,65,,,4,1,,2,2,3,3,4,6,13,,70
,,1155,55,281,,30,3,,1,1,2,2,2,3,4,6,,70
,,,54 56,347,,30,3,,1,1,2,2,3,3,4,6,,70
,ALTOONA PA,1156,56,13,1,6,3,1,2,2,2,3,3,3,4,5,,70
,BRISTOL PA,,55 56,18,,3,1,,,,1,1,,2,2,2,,70
,CHESTER PA,,55 56,186 186,,9,1,,,,1,1,1,1,2,4,,70
,,1156,56,25,,,,,1,1,1,1,1,2,2,3,,70
,,,,,,,1,,,,,,,,,,,70
,,,56,21,1,11,2,1,1,2,2,2,3,3,3,4,,70
,,,55 56,23,1,5,2,,1,1,2,2,2,3,3,4,,70
,,1154,54,16,1,19,8,4,4,5,,7,8,9,11,12,,70
,,2155,,18,1,20,3,,,,1,1,1,1,2,15,,70
,,2156,,2,1,2,,,,1,1,1,1,2,2,2,,70
,,,55 56,20,,,,,,,1,,1,,2,,,70
,,,,,1,20,3,,,,,1,,,,15,,70
,,,,16,1,19,8,4,4,5,5,7,8,9,1i,12,,70
,,,55,18,1,20,3,,,,1,1,1,,2,15,,70
,,,54,2,1,2,1,,,1,1,1,1,1,2,2,,70
,,,54 56,36,,20,5,,,1,1,2,5,7,10,15,,70
,KY,1,54,17,2,50,21,3,3,6,12,19,26,30,36,38,,70
,,,,21,,29,10,1,1,2,3,8,9,15,20,24,,70
,,,54 55,38,,50,15,1,2,3,6,9,17,21,27,34,,70
,,,54,13,,29,9,,3,6,6,7,8,8,15,19,,70
,,2155,,10,,18,5,,1,1,2,3,3,3,4,17,,70
,,,54 55,23,,29,7,,1,2,3,6,7,,,18,,70
,,,54,31,,50,15,,3,5,7,8,17,19,29,36,,70
,,,,31,,29,8,1,1,2,3,4,8,,18,21,,70
,,,54 55,62,,50,12,,2,3,5,7,9,17,21,29,,70
,VA,4155,55,16,,17,3,1,1,2,2,2,3,3,4,6,,70
,,,,,,,,,,,,,,,10,,,70
,,1155,55,21,1,21,6,2,2,3,3,,,8,,12,,70
,,,55 56,16,,35,3,,,1,1,1,1,1,2,6,,70
,,3755,55,14,,3,1,,,1,,1,1,2,2,3,,70
,,,56,18,1,,4,1,2,2,3,3,4,5,6,8,,70
,,,55 56,32,,19,3,,1,1,1,2,2,3,5,7,,70
,CHICAGO,1755,55,,1,49,7,1,2,2,2,3,4,5,8,15,,70
,,2154,54,25,3,215,38,6,7,14,23,29,31,41,48,88,,70
,,2155,55,26,1,134,24,2,3,4,5,7,il,15,24,69,,70
,,,54 55,51,1,215,31,3,4,6,8,15,23,31,46,78,,70
,,4155,55,29,,i7,5,1,2,2,3,4,4,5,8,,,70
,,,,25,3,215,38,6,7,14,23,29,31,41,48,88,,70
,,,,83,,,12,,2,,,,,,,,,70
,,,55,,1,134,,1,,2,3,4,,7,11,22,,70
,,,54,108,1,215,18,1,2,3,4,6,8,14,23,48,,70
,,,55 56,15,2,11,7,3,4,6,6,8,8,9,9,10,,70
,,,55 56,14,1,15,4,1,2,2,3,4,4,,5,7,,70
,,,55 56,29,,is,,,2,3,4,5,6,,8,9,,70
