Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Page
,,54 55,,,,,,,,,,,,,,,,127
,AVERAGE,,3,1,,,,,,10,23,4,2,1,2,,,127
,DENVER COL,54 55,,,,,,,,,,,,,,,,127
,AVERAGE,,5,6,3,1,3,,1,6,1,,3,3,,,,127
,SA LT,54 35,,,,,,,,,,,,,,,,127
,,,3,,,7,20,,20,10,20,10,10,100,10,,,127
,AVERAGE,,46,60,1i,5,,,10,8,15,10,8,,,,,127
,AN CHORAGE ALASKA,54 55,,,,,,,,,,,,,,,,127
,AVERAGE,,,,,4,,,8,,10,,,,,,,127
,SA CALIF,55 56,,,,,,,,,,,,,,,,127
,AVERAGE,,1,1,1,,2,,3,1,1,1,,,,,,127
,MUM,,,,,5,1,,,1,,,,,,,,127
,PA ENA CALIF,55 56,,,,,,,,,,,,,,,,127
,MUM,,,,2,6,3,,,3,,4,3,,,,,127
,AVERAGE,,4,2,2,3,1,,,2,,3,2,,,,,127
,MUM,,3,,2,2,,,,1,,3,1,,,,,127
,SA OSE CALIF,55 56,,,,,,,,,,,,,,,,127
,AVERAGE,,1,,,,1,,,1,4,8,2,,,,,127
,,55,,,,,,,,,,,,,,,,127
,SA,56,,,,,,,,,,,,,,,,127
,AVERAGE,,2,2,2,2,5,,15,4,8,5,6,3,,,,127
,PORTL,54 55,,,,,,,,,,,,,,,,127
,AVE RAGE,,10,,3,,,,,7,12,4,20,,,,,127
,MUM,,,,,,,,,5,4,1,20,,,,,127
,SE,57,,,,,,,,,,,,,,,,127
,AVERAGE,,48,41,51,29,35,,26,24,19,39,26,,,,,127
,OOL ESEX,55,,,,,,,,,,,,,,,,127
,MUM,,,1,5,,,,2,,,2,2,2,2,,,127
,AVERAGE,,,,3,,,,,,,,,,,,,127
,LA KEHURST N J,55 56,,,,,,,,,,,,,,,,127
,AVERAGE,,,,,,,,,,,,,,,,,127
,KA NAWHA VA,55,,,,,,,,,,,,1,1,,,127
,AVERAGE,,,2,1,,6,,,,2,,1,,,,,127
,DENVER COUNTY,54 55,,,,,,,,,,,,,,,,127
,,,,1,,,,,,,,,1,2,2,,,127
,AVERAGE,,,,,,,,,,,,,2,2,,,127
