Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Page
SHANNON COUNTY MO,,,,,,,,,,,,,,,,69
,,,,,,,,,1,239 4,113 4,as 4,2e 5,,,69
AVE RAGE,,,,,,,,,100,89,62,17,17,,,69
TH OMA COUNTY NEBR,57,,,,,,,,,,,,,,,69
B,,,,,,,,,,2,4,2,3,,,69
AVER AGE,,,,,,,,,,100,47,8,201,,,69
t MUM,,,,,,,,,,59,3,7,19,,,69
WA RO OUNTY N D,57,,,,,,,,,,,,,,,69
NUMB ER OF SAMPLE,,,,,,,,,,,4,4,5,,,69
AVER AGE,,,,,,,,,,,19,7,9,,,69
,,,,,,,,,,,5,5,4,,,69
BL ACK HILLS FRST D,,,,,,,,,,,,,,,,69
AVE RAGE,,,,,,,,,,,,17,,,,69
PT RONZOF ALASKA,56 57,,,,,,,,,,,,,,,69
,,1,3,,4,,4,3,4,,4,6,,,,69
,,,38,,26,18,4,4,2,26,,12,8,,,69
AVERAGE,,34,18,,11,5,2,2,1,20,8,8,7,,,69
MUM,,34,4,,5,,1,1,,10,4,2,4,,,69
GR AND CANYO N ARIZ,57,,,,,,,,,,,,,,,69
AVE RAGE,,,,,,,87,362,84,322,99,24,21,,,69
WA NOLO,57,,,,,,,,,,,,,,,69
AVE RAGE,,16,16,,20,25,,4,3,58,41,3,9,,,69
