Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Page
,,,,,,,,,,,,,,,,,133,,117
,,CNTY MASS,,55,23,,3,1,,,,1,1,1,1,2,2,,117
,,LAKEHURST N J,,56,17,,3,,,,,1,1,1,1,2,2,,117
,,,,55,17,,3,1,,,1,1,1,1,1,2,2,,117
,,KANAWHA co W VA,,,,,,,,,,,,,,,,,117
,,,,,,,,,,,1,1,1,1,2,2,3,,117
,,DENVER COUNTY COLO,,54 55,10,,4,1,,,,,,,,,,,117
,,,,,,,,,,,,,,,,,2,,117
,,GRANO TOTAL,,54,67,,4,1,,,1,1,,1,1,2,,,117
,,PT WORONZOF ALASKA,,55 56,12,,1,,,,,,,,,,,,117
oe,,,,,,,,,,,,,,,,,,,117
Nw,,,,,,,,,,,,,,,,,,,117
on,,,,,,,,,,,,,,,,,,,117
E,,,,,,,,,,,,,,,,,,,117
GO,,,,,,,,,,,,,,,,,,,117
,,G,ogle,,,,,,,,,,,,,,,,117
oa,,O,,,,,,,,,,,,,,,,,117
