Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Page
,NEW YORK N Y,,,28,1,59,25,6,il,15,22,27,30,33,36,41,,176
,,,54,,,28,10,1,1,4,,10,10,,12,12,,176
,,,54 55,36,,59,21,4,,11,14,22,28,30,34,39,,176
,,,54,,,,,,,,,,,,,,,176
,PA,,,10,,28,12,1,3,7,,12,12,13,13,27,,176
,,,54 55,25,,34,15,1,5,9,14,17,18,20,21,27,,176
,KY,,54,9,3,44,25,,,15,17,21,21,36,38,46,,176
,CHARLESTON VA,,54,7,,42,13,1,1,5,5,6,6,,27,27,,176
,TAMPA FLA,,54,10,,,7,1,2,2,3,5,,11,15,17,,176
,,,,,1,,,,,,,,,,,,,176
,ATLANTA GA,,54,,,26,10,1,4,4,8,8,8,,15,26,,176
,,,54,37,,,32,,11,19,28,32,37,41,48,58,,176
,,,,6,5,44,30,5,,29,29,30,38,38,43,43,,176
,,,54 55,453,,86,31,,15,23,28,32,37,41,45,58,,176
,DETROIT MICH,,53 54,29,,71,27,4,11,14,21,23,26,37,43,S1,,176
,CINCINNATI,,54 55,73,3,51,,5,,10,12,14,16,18,22,28,,176
,,,54,19,7,,23,11,13,16,19,22,23,24,27,41,,176
,,,54,16,3,36,16,5,,11,14,15,17,21,23,23,,176
,,,54,27,3,69,28,,10,14,17,21,29,34,48,61,,176
,,,54 55,135,3,69,,6,,,14,16,18,22,26,36,,176
,,,54,14,4,20,il,4,5,6,,,12,15,16,19,,176
,,,54,6,2,8,4,2,2,3,3,4,4,4,6,6,,176
,NEW ORLEANS LA,,54,4,6,22,14,,6,6,9,9,,19,19,24,,176
,,,54,6,5,59,20,5,5,7,7,,11,il,30,30,,176
,,,54,5,,33,17,1,1,9,,13,13,32,32,34,,176
,HOUSTON,,54,,,,,,,,,,,,,,,176
,TEXAS,,,16,,48,10,,,1,1,,10,,19,24,,176
,,,54,,,42,22,14,14,15,15,17,17,24,24,43,,176
,ANCHORAGE ALASKA,,54 55,24,,400,28,,1,4,7,,,is,19,34,,176
,LOS ANGELES CALIF,,54,19,1,40,i5,2,4,7,,11,15,23,27,30,,176
,PASADENA CALIF,,,24,,52,22,,11,14,20,22,24,30,32,38,,176
,CALIF,,55,,,,,,,,,,,,,,,176
,BERKELEY,,54,35,1,35,12,5,7,8,10,12,13,15,16,26,,176
,SAN JOSE CALIF,,54 55,34,,25,13,,,10,14,16,17,18,19,20,,176
,,,54,,,32,12,1,2,8,10,10,11,13,17,27,,176
,,,,,,,,,,,,,,24,,,,176
,,,,15,,29,16,1,,16,17,19,21,24,26,29,,176
,,,54,10,12,36,21,12,13,15,17,18,19,26,27,34,,176
,,,54,10,,23,,10,11,12,13,15,16,17,19,23,,176
,,,54,54,,36,15,1,,ii,13,15,17,,25,29,,176
