Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Page
,,,,,,,,,,,,,,,209,,,193
,,AVERAGE,,,5,1,9,4,2,2,7,,10,6,15,,,193
,,BOSTON MASS,,,,,,,,,,,,,,,,193
,,AVERAGE,,10,15,,,,,,1,,2,3,,,,193
,,EV,55,,,,,,,,,,,,,,,193
,,AVERAGE,,,3,,,,8,,,,,100,,,,193
,,,,50,,8,,9,,33,,7,,,53,,,193
,,EL,55 56,,,,,,,,,,,,,,,193
,,AVERAGE,,,,,,1,,,,2,,1,1,,,193
,,PA,55 56,,,,,,,,,,,,,,,193
,,AVERAGE,,,,1,,,,,,,,,,,,193
,,CA MOEN,55 56,,,,,,,,,,,,,,,193
,,AVERAGE,,1,,1,,,,1,1,3,,,,,,193
,,PERTH AMBOY,55 56,,,,,,,,,,,,,,,193
,,AVERAGE,,,,7,1,,,,,,9,1,,,,193
,,,56,,,,,,,,,,,,,,,193
,,AVERAGE,,,1,2,2,,,,,,1,,,,,193
,,JERSEY N J,55 56,,,,,,,,,,,,,,,193
,,AVERAGE,,,1,3,5,,,,3,,,,,,,193
,,Y,54 56,,,,,,,,,,,,,,,193
,,AVERAGE,,92,8,8,7,5,5,6,5,13,9,4,15,,,193
,,A PA,56,,,,,,,,,,,,,,,193
,,AVERAGE,,12,9,10,5,40,6,2,5,12,6,5,29,,,193
oe,,,,,,,,,,,,,,,,,,193
23,,,56,,,,,,,,,,,,,,,193
,,,,,,,,4,,,,,,,,,,193
,,AVERAGE,,,,,,1,,,,,3,,,,,193
,,,56,,,,,,,,,,,,,,,193
on,,AVERAGE,,,,4,,,,2,,5,2,9,4,,,193
ats,,,56,,,,,,,,,,,,,,,193
,,,,,4,,7,,12,3,23,18,,,,,,193
,,AVERAGE,,,4,,5,,6,1,9,6,,,,,,193
,,,,,4,,3,,,,,,,,,,,193
,,ER,56,,,,,,,,,,,,,,,193
,,,,3,1,2,3,,1,1,,,,2,,,,193
oa,,AVERAGE,,4,,ia,4,,5,,,3,1,4,1,,,193
,,,56,,,,,,,,,,,,,,,193
,,AVERAGE,,3,1,21,,,10,2,,20,17,41,8,,,193
NO,,,,,,4,,,4,,,20,4,3,8,,,193
58 ca,,,ogle,,,,,,,,,,,,,,,193
oa,,O,,,,,,,,,,,,,,,,193
