Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Page
,,WATERBURY CONN,,,,,,,,,,,,,,,,86
,,,,2,2,4,,,,20,11,2,7,9,8,,,86
,,,,7,14,9,11,9,6,,,,,,,,,86
,,AVERAGE,,4,9,6,,7,4,,6,2,5,6,5,,,86
,,,55 57,,,,,,,,,,,,,,,86
,,AVERAGE,,8,25,7,1,6,2,7,5,6,3,5,5,,,86
,,,,,,,1,6,2,2,2,6,2,,5,,,86
,,,,7,13,3,,,,,,,,,,,,86
,,EV ERETT MASS,55,,,,,,,,,,,,,,,86
,,AVERAGE,,8,10,9,2,5,3,4,8,6,1,,7,,,86
,,,57,,,,,,,,,,,,,,,86
,,MA,,,,,2,2,1,1,2,1,2,1,2,,,86
,,AVERAGE,,,11,8,19,15,25,7,8,10,18,4,9,,,86
,,,,,11,6,4,8,25,7,7,10,9,4,6,,,86
,,EL J,55 56,,,,,,,,,,,,,,,86
,,,,3,5,21,5,7,,3,3,5,,7,10,,,86
,,,,,,,,,,,3,5,,7,8,,,86
,,,,2,4,6,3,7,,3,,,,,,,,86
,,PA J,55 56,,,,,,,,,,,,,,,86
,,AVERAGE,,6,,26,20,,3,4,5,,,,7,,,86
,,CA J,55,,,,,,,,,,,,,,,86
,,,,,,,,,,5,3,6,5,,6,,,86
,,AVERAGE,,7,7,26,32,,4,,,6,,,6,,,86
,,PERTH AMBOY,55 56,,,,,,,,,,,,,,,86
,,AVERAGE,,6,4,17,12,,,5,4,,6,9,10,,,86
,,,,4,4,5,2,,,5,4,,5,8,9,,,86
,,TRENTON,55 56,,,,,,,,,,,,,,,86
,,,,23,21,,46,7,5,7,6,,22,18,18,,,86
,,AVERAGE,,14,18,5,46,7,5,,6,,22,18,15,,,86
,,JERSEY,55 56,,,,,,,,,,,,,,,86
,,,,12,20,67,64,,5,11,14,5,,13,17,,,86
,,AVERAGE,,8,13,24,22,,4,9,9,5,,13,14,,,86
,,,,,9,,3,,4,8,5,5,,13,12,,,86
,,Y,54 57,,,,,,,,,,,,,,,86
,,AVERAGE,,30,10,18,8,1,11,18,13,18,36,13,8,,,86
,,,57,,,,,,,,,,,,,,,86
,,,,25,31,35,33,7,33,35,19,7,33,20,21,,,86
,,AVERAGE,,16,23,21,18,,,,,,,20,21,,,86
,,,,7,a5,7,4,7,16,35,19,4,33,,,,,86
,,PHILADELPHI A PA,54 57,,,,,,,,,,,,,,,86
,,AVERAGE,,25,28,20,12,10,13,,15,,24,20,21,,,86
,,,,1,2,2,2,,3,,2,7,6,2,3,,,86
,,,56,,,,,,,,,,,,,,,86
,,,,,6,5,4,8,,,8,5,16,,,,,86
,,AVERAGE,,,6,5,4,7,,,8,5,,15,,,,86
,,,55 56,,,,,,,,,,,,,,,86
,,,,,9,5,7,8,,7,8,10,8,12,9,,,86
,,AVERAGE,,,9,5,7,7,,7,8,8,7,10,6,,,86
,,,,,9,5,7,7,,7,8,7,7,9,4,,,86
,,,55 56,,,,,,,,,,,,,,,86
,,AVERAGE,,,12,,18,6,7,9,8,12,6,,8,,,86
,,,,,12,,16,5,7,2,3,8,6,,8,,,86
