Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Page
,,,,,,,,,,,,,,,,,,,,73,,57
,,,,,MIDOLESEX,i,,,,,,,,,,,,,,,,57
,,,,,CNTY MASS,,,,1,9,2,,,,,,,,,20 3,,57
,,,,,,11564,5646 55,18,,3,13,,,,6,,9,14,1,,,57
,,,,,,,56,,,8,9,1,,,,,6,,,18,,57
,,,,,KANAWHA Cu VA,,354,26,1,34,8,1,,,4,,,,1,15,,57
,,,,,,1155,,18,3,60,12,,,,4,,9,14,1,20,,57
,,,,,,,56,,31,46,38,,,3,,33,33,3,54,54,,57
,,,,,,,54 56,46,1,60,11,,,,,,9,1,14,30 30,,57
,,,,,co FLA,,53,,,,,,,,,,,,,1,,57
,,,,,,,,34,,,7,,,,,,,,10,23,,57
,,,,,,,54,,,40,,,,,,4,,,,,,57
,,,,,,,55,2,1,613,30,,,,4,,,1,,20,,57
,,,,,,,56,,7,29,15,,,1,13,14,14,14,23,26,,57
,,,,,,,53 56,7,,61 613,17,,,,,,9,1,14,25,,57
,,,,,FULTON co GEQRGIA,,53,,,,,,,,,,,,,1,,57
,,,,,,,54,44,,5,8,,,,,,,,9,18,,57
,,,,,,,55,22,1,53,35,,,,4,,,14,,48,,57
,,,,,,,53 55,,,53,16,,,,,,,,13,26,,57
,,,,,,,,,,,,,,,,4,,,,,,57
,,,,,HAMILTON,,53,6,,,1,,,,,,,,,2,,57
,,,,,,,54,52,,23,3,,,,,,,4,,8,,57
,,,,,,,,,1,1,3,1,,,,,,,,12,,57
,,,,,,,55,63,,23,3,,,,,,,,,8,,57
,,,,,TONKA,,53,7,,,2,,,,,,,,,4,,57
,,,,,,,54,37,,23,3,,,,,,,,,8,,57
,,,,,,,53 54,44,,23,3,,,,,,,,,8,,57
,,,,,,,,,,,,,,,,,,,4,,,57
,,,,,,,35,14,2,70,14,2,,,,9,10,1,12,42,,57
,,,,,,,54 55,19,2,70,13,2,,,,,1,14,19,26,,57
,,,,,DENVER COUNTY COLO,,54,21,3,64,25,4,,,1,,,3,46,59,,57
,,,,,,,55,2,,,46,1,,,,9,1,14,,45,,57
,,,,,,,56,16,8,17,49,20,2,,,34,34,44,,,,57
,,,,,,,54 56,62,,,40,,,,1,14,2,34,464,79,,57
,,,,,SALT LAKE co UTAH,,,,,,,,,,,,,,,,,57
,,,,,,,53,,,,,,,,,,,,,1,,57
,,,,,,,54,27,1,17 170,24,1,,,,14,14,24,33,62,,57
,,,,,,,55,,,R643,1944,2,,,,,,,,54 94,,57
,,,,,,,53,50,,R643,868,,,,,,,,30,62,,57
,,,,,MULTNOMAH CNTY ORE,,54,16,,,20,,,,,,,,,26,,57
,,,,,,,55,,1,4,2,,,,,,,,,4,,57
,,,,,,,54,19,,1164,17,,,,,,,,14,26,,57
,,,,,TOTAL,,53 56,474,,,102 102,1,,,,,,1,1,33,,57
on,,,,,,,,,,,,,,,,,,,,,,57
an,,,,,,,,,,,,,,,,,,,,,,57
oo,,,,,,,,,,,,,,,,,,,,,,57
,,,,,,ogle,,,,,,,,,,,,,,,,57
,,,,,Digitized O,,,,,,,,,,,,,,,,,57
