Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Page
MIO D LESEX CNTY MASS,,,,,,,,,,,,,,,,145
A,,3,,14,,2,5,1,4,,5,5,,,,145
ERAGE,,,,,,,,,,4,,,6,,,145
,,2,,9,,2,2,,2,3,,2,2,,,145
NiMUM,,2,,4,,2,,,1,2,,,,,,145
LA KE HURST N J,55 56,,,,,,,,,,,,,,,145
M,,,,13,21,2,,,,,,,,,,145
A ERAGE,,,,5,7,1,,,,,,,,,,145
M NIMUM,,,,,,,,,,,,,,,,145
KA WHA VA,54,,,,,,,,,,,,,,,145
,,,9,7,32,45,51,,4,,2,,,,,145
ERAGE,,,3,7,32,28,28,,4,,2,,,,,145
NIMUM,,,,7,32,4,,,4,,2,,,,,145
HA LTON COUNTY OHIO,55,,,,,,,,,,,,,,,145
,,,13,75,58,55,56,72,15,19,11,6,14,,,145
ERAGE,,,13,47,46,38,43,41,10,ii,Be,5,9,,,145
,,,13,,,,,,,,,,,,,145
,,,,14,35,23,32,is,8,5,6,5,4,,,145
DE ER COUNTY,54 55,,,,,,,,,,,,,,,145
,,,3,5,18,,,20,,17,25,18 18,6,,,145
ERAGE,,,3,5,18,,,20,,14,,186,6,,,145
NIMUM,,,3,5,18,,,20,,,17,,6,,,145
PT ORONZOF,,,,,,,,,,,,,,,,145
ALASKA,55 56,,,,,,,,,,,,,,,145
M A,,2,,2,2,9,,8,13,8,5,23,2,,,145
AVERAGE,,2,,2,2,8,,8,9,8,5,23,2,,,145
,,2,,2,2,6,,8,5,8,,23,2,,,145
