Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Page
,NEW,,,27,,135,6,,,,,1,1,1,1,1,,155
,,,54,6,,80,44,1,,30,30,38,54,54,78,78,,155
,,,54 55,34,,135,13,,,,,1,1,,30,54,,155
,,,54,10,,102,32,1,1,,is,38,41,43,46,48,,155
,oc,,54 55,27,,61,5,,,,,1,1,1,,5,,155
,LOUISVILLE KY,,54,7,9,120,67,9,,34,58,61,61,88,118,118,,155
,,,54,7,9,120,67,9,,34,58,61,61,88,118,118,,155
,CHARLESTON VA,,54,4,2,46,25,,2,,i5,15,15,38,38,48,,155
,,,,9,,56,11,,1,1,7,8,8,8,,17,,155
,TAMPA FLA,,54,,,,,,,,,,,,,,,155
,,,,,,,,,,,,,,17,,38,,155
,ATLANTA GA,1154,54,6,1,57,18,,,1,1,,17,,38,,,155
,CHICAGO,,54,35,,65,5,,,,,1,1,1,,30,,155
,,,55,6,,25,4,,,,,1,1,1,1,1,,155
,,,54 55,41,,65,5,,,,,1,1,1,,27,,155
,,,53 54,23,7,137,59,21,26,30,38,54,61,74,88,111,,155
,,,,68,,102,10,,,,1,1,1,,1s,38,,155
,,,54 55,68,,,,,,,,,,,,,,155
,,,54,16,,83,26,,1,1,,18,24,27,61,69,,155
,,,54,13,,112,43,,,12,12,43,61,65,69,88,,155
,,5154,54,18,,118,47,,121,12,36,43,48,69,83,99,,155
,,,54 55,115,,118,22,,,1,1,,12,30,46,80,,155
,,,,,,100,48,1,,34,38,54,58,61,78,99,,155
,,1154,54,12,,,,,,,,,,,,,,155
,,,54,11,,32,16,,1,1,,22,23,23,24,30,,155
,,,54,4,,,,,,,1,1,1,1,1,1,,155
,,,54,4,,420,119,,1,1,1,1,,61,61,458,,155
,,,54,18,,85,19,,,,1,1,,27,48,58,,155
,BELLAIRE TEXAS,1154,54,4,,49,22,,1,1,1,1,,43,43,54,,155
,,,54,4,,52,16,,1,1,1,1,,,11,54,,155
,ANCHORAGE ALASKA,,54 55,21,,448,25,,,,,1,1,1,,24,,155
,Los,,54,18,,100,29,,1,1,,17,41,46,48,69,,155
,PASADENA,,54 55,28,,63,7,,,,1,1,1,1,,21,,155
,CALIF,,,,,,,,,,,,,,,,,155
,,,,,,,,,,,,,,1,,17,,155
,BERKELEY CALIF,,54,34,,60,4,,,,,1,1,,,,,155
,CALIF,,54 55,34,,100 100,7,,,,1,1,1,1,,,,155
,PORTLAND OREGON,,54,18 18,,114,,,,,1,1,1,,34,69,,155
,,2454,54,15,,71,8,,,,1,1,1,1,,48,,155
,,,54,10,,,,,,,,1,1,1,1,1,,155
,,,54,10,,,,,,,,1,1,1,1,,,155
,,,54,53,,114,8,,,,,1,1,1,,46,,155
