Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Page
,,57,,,,,,,,,,,,,,62
,,,,,,,59,85,78,37,42,73,18,15,,62
,AVER AGE,,,,,,49,11,58,16,42,69,2,15,,62
,ILLE,57,,,,,,,,,,,,,,62
,AVER AGE,,,,,,34,241,100,,192,66,19,17,,62
,CHATTA NOOGA TENN,57,,,,,,,,,,,,,,62
,,,,5,,5,5,5,8,9,4,2,2,3,,62
,AVERAGE,,7,13,3,34,134,21,94,15,212,87,53,16,,62
,MIEN MUM,,2,3,6,1,27,11,1,,3,,2,10,,62
,KNOXY LLE TENN,57,,,,,,,,,,,,,,62
,AVER AGE,,,,,,44,913,58,28,119,,13,i1,,62
,,,,,,,44,8,29,24,52,,11,8,,62
,LLE TENN,57,,,,,,,,,,,,,,62
,AVER AGE,,,,9,,38,19,24,20,83,39,14,11,,62
,CH,54,,,,,,,,,,10,,20,,62
,AVER AGE,,13,,73,27,69,9,4,3,11,15,20,18,,62
,MUM,,2,2,1,3,,,1,,,2,5,1,,62
,RING,57,,,,,,,,,,,,,,62
,,,,,,,24,50,111,,56,17,12,16,,62
,AVER AGE,,,,,,21,,17,T21,4,10,,9,,62
,EA HICAGO,55 57,,,,,,,,,,,,,,62
,AVERAGE,,,,10,27,30,22,68,26,31,83,19,23,,62
,EV ANSV IND,,,,,,3,2,2,2,2,2,1,3,,62
,AVERAGE,,,,,,21,28,105,23,16,41,3,19,,62
,MEN MUM,,,,,,6,19,63,20,14,19,3,18,,62
,FO RT WAYNE,57,,,,,,,,,,,,,,62
,AVERAGE,,,,,,27,23,173,19,61,46,8,20,,62
,,,,,,,253,16,12,19,58,29,4,16,,62
,MUM,,,,,,,,,,,,,,,62
,DIANAPOLIS IND,57,,,,,,,,,,,,,,62
,AVERAGE,,,,,,49,31,27,202,48,,14,20,,62
,OE TRO,53,,,,,,,,,,,,,,62
,SAMPLE,,,4,3,4,4,5,2,3,3,2,35,1,,62
,,,,1,2,11,60,26,5,45,114,100,3,22 22,,62
,AVERAGE,,,,,,,,3,32,4,21,,22,,62
,KA LAMA MICH,,,,,,,,,,,,,,,62
,AVERAGE,,,,,,35,11,140,14,361,6,13,i1,,62
,MUM,,,,,,30,10,31,12,16,6,8,,,62
,LA MICH,57,,,,,,,,,,,,,,62
,,,,,,,33,31,179,47,48,65,13,11,,62
,AVERAGE,,,,,,,,,,,,10,10,,62
,MEN MUM,,,,,,13,29,20,11,48,i3,,,,62
,FL MICH,57,,,,,,,,,,,,,,62
,AVERAGE,,,,,,20,33,28,188,36,34,22,13,,62
,MUM,,,,,,20,29,14,15,30,24,16,9,,62
,ct OHIO,57,,,76,34,,28,27,,32,23,33,35,,62
,,,35,29,107,54,64,42,73,17,219,107,32,34,,62
,AVERAGE,,5,6,7,,10,10,10,4,20,16,8,11,,62
,,,,,,,,1,2,1,2,1,,,,62
