Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Page
,,,20,10,20,,20,2,8,200,10,5,10,8,,,173
AVERAGE,,,,10,14,,10,1,8,200,9,2,8,8,,,173
,55 56,,,,,,,,,,,,,,,,173
WA,,1,2,,1,,3,2,1,3,2,1,1,,,,173
AVERAGE,,40,25,,20,,23,25,30,12,25,40,20,,,,173
Lo,54 55,,,,,,,,,,,,,,,,173
AVERAGE,,2,33,13,9,,3,6,7,6,9,7,4,21,,,173
,,2,3,13,9,,3,,,,,2,4,2,,,173
BA,57,,,,,,,,,,,,,,,,173
AVERAGE,,35,43,37,60,,,26,31,34,67,,,,,,173
CH ARLESTON W VA,,,,,,,,,,,,,,,,,173
,,,,,,,,,,,,,100,,,,173
AVERAGE,,,8,7,,,,6,4,10,9,6,50,7,,,173
TA MPA FLA,55,,,,,,,,,,,,,,,,173
AVER AGE,,11,8,20,4,,4,3,4,12,6,7,2,4,,,173
ATLAN T A GA,55,,,,,,,,,,,,,,,,173
AVER AGE,,10,7,6,,,60,3,10,7,,190,6,8,,,173
CHATTA NOOGA TENN,55 56,,,,,,,,,,,,,,,,173
,,,5,3,,,,,,,,,,,,,173
AVER AGE,,,3,13,1,,6,,3,4,5,8,3,7,,,173
CH,,,,,,,,,,,,,,,,,173
AWER AGE,,9,30,33,39,,15,20,7,11,19,13,16,30,,,173
,,9,10,3,9,,4,6,,,7,,,20,,,173
EA ST T LOUIS,56,,,,,,,,,,,,,,,,173
AVER AGE,,21,5,104,19,,26,6,10,9,23,,7,14,,,173
EA ST CHICAGO IND,56,,,,,,,,,,,,,,,,173
,,,,,,,4,,,5,7,6,8,8,,,173
AVERAGE,,30,15,27,26,,20,12,6,24,9,21,10,13,,,173
NCI NNATI,55,,,,,,,,,,,,,,,,173
AVE RAGE,,8,,13,7,,7,i1,7,8,4,14,54,10,,,173
Yo UNG,57,,,,,,,,,,,,,,,,173
AVERAGE,,,,23,38,,33,16,39,42,21,46,,,,,173
Mi LWA,57,,,,,,,,,,,,,,,,173
AVERAGE t,,49,44,27,36,,22,11,20,,,,,,,,173
,,,,,,,,,,16,28,18,,,,,173
AVE RAGE,,10,7,10,6,,,3,,14,4,,7,20,,,173
KA NSA MO,55,,,,,,,,,,,,,,,,173
,,,,,,,,,,,4,,,,,,173
AVE RAGE,,15,13,8,4,,2,7,3,7,4,7,10,20,,,173
,,5,10,7,4,,,4,1,,4,7,10,20,,,173
