Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Page
,57,,,,,,,,,,,,,,,59
,,,,,,30,41,490,100,41,31,14,40,,,59
AVERAGE,,,9,,59,22,41,173,56,34,27,11,27,,,59
NEW HAVEN,57,,,,,,,,,,,,,,,59
,,,i8,38,41,46,150,38,18,169,43,,25,,,59
AVERAGE,,le,14,,28,43,150,29,14,169,29,9,20,,,59
,,,,,15,40,150,22,,169,11,9,16,,,59
STAMFORD CONN,,,,,,,,,,,,,,,,59
AVERAGE,,10,,,33,38,22,,10,141,88,4,13,,,59
,,10,,,33,16,i5,45,10,16,88,1,12,,,59
PO RTLAND,57,,,,,,,,,,,,,,,59
,,,i2,14,,10,28,24,,22,38,37,15,,,59
AVERAGE,,,,14,,10,19,,,,,,,,,59
I MUM,,,12,14,,10,10,10,,22,38,19,6,,,59
BO STON MASS,,,,,,,,,,,,,,,,59
AVER AGE,,,9,17,11,44,24,9,8,44,27,4,,,,59
,,5,,17,7,,22,1,6,2,,,,,,59
MUM,,,8,,,4,,,,,,,,,,59
Ev ERE TT MASS,,,,,,,,,,,,,,,,59
AVER AGE,,,il,9,19,299,6,,6,0,,,9,,,59
MUM,,,11,,19,,3,,5,,,,7,,,59
LA,,,,,,,,,,,,,,,,59
,,,,9,,36,38,38,17,,65,,,,,59
AVERAGE,,,,9,,22,31,25,13,65,36,is,17,,,59
LYNN MASS,37,,,,,,,,,,,,,,,59
AVERAGE,,,,,,28,141,15,320,34,,9,12,,,59
MUM,,,19,,,12,32,13,320,32,,9,,,,59
MASS,,,,,,,,,,,,,,,,59
AVER AGE,,,6,20,,81,15,41,109,,39,15,9,,,59
WORCES,,,,,,,,,,,,,,,,59
,,,,1,,2,3,3,2,3,2,2,3,,,59
,,,,,,,37,28,,,,24,11,,,59
AVERAGE,,,,,,30,34,16,10,,,14,7,,,59
NCHE,,,,,,,,,,,,,,,,59
AVERAGE,,,,,,31,16,,76,1206,43,6,8,,,59
PR,55 57,,,,,,,,,,,,,,,59
,,6,6,3,1,1,3,2,3,,2,1,3,,,59
AVERAGE,,3,4,8,16,13,38,,23,66,33,14,,,,59
MUM,,2,1,4,16,13,23,9,10,60,,1,13,,,59
BU GTON,,,,,,,,,,,,,,,,59
,,,,,,2,3,2,2,2,2,3,2,,,59
AVERAGE,,,,,,40,21,,10,21,114,12,,,,59
,,,,,,,,,10,,40,,,,,59
MUM,,,,,,9,16,7,,19,,z 20,5,,,59
AVERAGE,,,,,,40,200,28,29,,50,16,14,,,59
MUM,,,,,,12,27,10,27,,48,,14,,,59
Ca,a7,,,,,,,,,,,,,,,59
,,,,,,2,2,2,3,2,,,2,,,59
,,,,,,59,230,34,17,104,17,52,19,,,59
AVERAGE,,,,,,38,135,23,12,73,17,27,,,,59
,,,,,,18,41,12,7,42,17,is,17,,,59
JE,57,,,,,,,,,,,,,,,59
,,,,,,40,30,3B5,26,65,126,25,,,,59
AVERAGE,,,,,,,29,148,20,65,59,16,43,,,59
,,,,,,22,28,25,15,65,186,,29,,,59
